,Population_Year,Population_by_Gender_female,Population_by_Gender_male,Population_by_Malaysian_citizens,Population_by_NonMalaysian_citizens,Population_by_bumiputera,Population_by_Chinese,Population_by_Indians,Population_by_Others,Population_by_Foreigners,Population_00-04,Population_05-09,Population_10-14,Population_15-19,Population_20-24,Population_25-29,Population_30-34,Population_35-39,Population_40-44,Population_45-49,Population_50-54,Population_55-59,Population_60-64,Population_65-69,Population_70-74,Population_75-79,Population_80+
1,2010,13858,14731,26264,2325,17677,6430,1925,232,2325,2509,2659,2654,2837,2912,2790,2182,1955,1791,1614,1371,1066,824,538,409,233,244
2,2011,14082,14980,26617,2445,17964,6471,1940,242,2445,2506,2620,2666,2853,2965,2872,2268,1977,1811,1644,1416,1111,863,571,421,248,253
3,2012,14294,15215,26961,2548,18250,6511,1952,249,2548,2525,2582,2670,2854,3018,2924,2368,1997,1828,1667,1455,1160,897,613,427,268,259
4,2013,14609,15605,27326,2888,18549,6555,1965,257,2888,2559,2554,2671,2868,3122,3028,2523,2047,1861,1696,1497,1212,929,662,430,290,267
5,2014,14841,15868,27696,3012,18867,6586,1978,266,3012,2571,2537,2666,2853,3182,3079,2643,2095,1880,1713,1532,1260,962,709,440,308,278
6,2015,15074,16112,28061,3126,19183,6619,1986,272,3126,2602,2518,2656,2847,3226,3136,2731,2158,1899,1728,1560,1304,1000,749,461,320,292
7,2016,15287,16347,28404,3230,19485,6646,1992,281,3230,2630,2514,2616,2863,3245,3189,2798,2237,1918,1741,1585,1345,1041,785,490,331,306
8,2017,15480,16543,28735,3287,19781,6665,2001,288,3287,2614,2534,2581,2871,3245,3239,2842,2335,1933,1756,1604,1384,1085,816,528,335,323
9,2018,15661,16722,29060,3323,20076,6682,2008,294,3323,2595,2560,2550,2872,3233,3282,2869,2439,1951,1769,1620,1418,1131,843,572,338,342
,2019,15751,16831,29378,3205,20367,6696,2015,300,3205,2559,2522,2520,2866,3220,3318,2895,2525,1974,1771,1621,1439,1167,868,612,346,360
